run_id,agent,seed,temperature,tau,sigma,episodes,recall,precision,detections_per_joule,false_alarms,coverage,time_to_first_detection,ece,signed_calibration_error,accuracy,pool_split
lawnmower__s0__T4__tau0.7__sig1.5,lawnmower,0,4.0,0.7,1.5,20,0.30024041064683404,0.4566288443341458,0.08474310776942293,62.1,0.390625,10.4,,,,shift
lawnmower__s1__T4__tau0.7__sig1.5,lawnmower,1,4.0,0.7,1.5,20,0.27903525822968894,0.41926305070468206,0.07299498746867114,61.75,0.390625,10.8,,,,shift
lawnmower__s2__T4__tau0.7__sig1.5,lawnmower,2,4.0,0.7,1.5,20,0.3032759841099725,0.4445173876441988,0.08114035087719237,62.7,0.390625,16.0,,,,shift
lawnmower__s3__T4__tau0.7__sig1.5,lawnmower,3,4.0,0.7,1.5,20,0.29135688595424397,0.4364253427567208,0.07777255639097688,62.05,0.390625,8.2,,,,shift
lawnmower__s4__T4__tau0.7__sig1.5,lawnmower,4,4.0,0.7,1.5,20,0.2691306606684384,0.4130135946271807,0.07182017543859595,62.35,0.390625,10.25,,,,shift
lawnmower__s0__T0.3__tau0.75__sig1.5,lawnmower,0,0.3,0.75,1.5,20,0.36298288749331403,0.34313274935260896,0.10244360902255564,122.3,0.390625,10.15,,,,shift
lawnmower__s1__T0.3__tau0.75__sig1.5,lawnmower,1,0.3,0.75,1.5,20,0.33754404430051016,0.30582249620250745,0.08811090225563843,124.55,0.390625,10.4,,,,shift
lawnmower__s2__T0.3__tau0.75__sig1.5,lawnmower,2,0.3,0.75,1.5,20,0.3771372224255721,0.3434503664243933,0.10119047619047543,120.6,0.390625,9.1,,,,shift
lawnmower__s3__T0.3__tau0.75__sig1.5,lawnmower,3,0.3,0.75,1.5,20,0.35533047881442614,0.3219672455389223,0.09500313283207949,125.15,0.390625,6.7,,,,shift
lawnmower__s4__T0.3__tau0.75__sig1.5,lawnmower,4,0.3,0.75,1.5,20,0.33149225671761157,0.3082486343099749,0.08818922305764344,122.95,0.390625,9.75,,,,shift
lawnmower__s0__T0.5__tau0.75__sig1.5,lawnmower,0,0.5,0.75,1.5,20,0.36155954647537125,0.3518666304861104,0.10205200501253057,116.9,0.390625,10.15,,,,shift
lawnmower__s1__T0.5__tau0.75__sig1.5,lawnmower,1,0.5,0.75,1.5,20,0.33448124864549766,0.3163364187406198,0.08732769423558832,117.4,0.390625,10.4,,,,shift
lawnmower__s2__T0.5__tau0.75__sig1.5,lawnmower,2,0.5,0.75,1.5,20,0.3744762264591559,0.351655802499998,0.1004072681704253,115.45,0.390625,9.1,,,,shift
lawnmower__s3__T0.5__tau0.75__sig1.5,lawnmower,3,0.5,0.75,1.5,20,0.35389199283169126,0.3327573510105367,0.09461152882205444,118.65,0.390625,6.7,,,,shift
